grid,skyvector-url,lsalt-100ft
"[[141.5,-27.0],[142.0,-27.0],[142.0,-26.5],[141.5,-26.5],[141.5,-27.0]]",https://skyvector.com/?fpl=2700S14130E%202700S14200E%202630S14200E%202630S14130E%202700S14130E,17
"[[141.5,-26.5],[142.0,-26.5],[142.0,-26.0],[141.5,-26.0],[141.5,-26.5]]",https://skyvector.com/?fpl=2630S14130E%202630S14200E%202600S14200E%202600S14130E%202630S14130E,16
"[[151.0,-27.0],[151.5,-27.0],[151.5,-26.5],[151.0,-26.5],[151.0,-27.0]]",https://skyvector.com/?fpl=2700S15100E%202700S15130E%202630S15130E%202630S15100E%202700S15100E,38
"[[151.0,-26.5],[151.5,-26.5],[151.5,-26.0],[151.0,-26.0],[151.0,-26.5]]",https://skyvector.com/?fpl=2630S15100E%202630S15130E%202600S15130E%202600S15100E%202630S15100E,29
"[[151.5,-27.0],[152.0,-27.0],[152.0,-26.5],[151.5,-26.5],[151.5,-27.0]]",https://skyvector.com/?fpl=2700S15130E%202700S15200E%202630S15200E%202630S15130E%202700S15130E,48
"[[151.5,-26.5],[152.0,-26.5],[152.0,-26.0],[151.5,-26.0],[151.5,-26.5]]",https://skyvector.com/?fpl=2630S15130E%202630S15200E%202600S15200E%202600S15130E%202630S15130E,30
"[[152.0,-29.0],[152.5,-29.0],[152.5,-28.5],[152.0,-28.5],[152.0,-29.0]]",https://skyvector.com/?fpl=2900S15200E%202900S15230E%202830S15230E%202830S15200E%202900S15200E,52
"[[152.0,-28.5],[152.5,-28.5],[152.5,-28.0],[152.0,-28.0],[152.0,-28.5]]",https://skyvector.com/?fpl=2830S15200E%202830S15230E%202800S15230E%202800S15200E%202830S15200E,55
"[[152.5,-29.0],[153.0,-29.0],[153.0,-28.5],[152.5,-28.5],[152.5,-29.0]]",https://skyvector.com/?fpl=2900S15230E%202900S15300E%202830S15300E%202830S15230E%202900S15230E,39
"[[152.5,-28.5],[153.0,-28.5],[153.0,-28.0],[152.5,-28.0],[152.5,-28.5]]",https://skyvector.com/?fpl=2830S15230E%202830S15300E%202800S15300E%202800S15230E%202830S15230E,54
"[[153.0,-29.0],[153.5,-29.0],[153.5,-28.5],[153.0,-28.5],[153.0,-29.0]]",https://skyvector.com/?fpl=2900S15300E%202900S15330E%202830S15330E%202830S15300E%202900S15300E,40
"[[153.0,-28.5],[153.5,-28.5],[153.5,-28.0],[153.0,-28.0],[153.0,-28.5]]",https://skyvector.com/?fpl=2830S15300E%202830S15330E%202800S15330E%202800S15300E%202830S15300E,49
"[[153.5,-29.0],[154.0,-29.0],[154.0,-28.5],[153.5,-28.5],[153.5,-29.0]]",https://skyvector.com/?fpl=2900S15330E%202900S15400E%202830S15400E%202830S15330E%202900S15330E,16
"[[153.5,-28.5],[154.0,-28.5],[154.0,-28.0],[153.5,-28.0],[153.5,-28.5]]",https://skyvector.com/?fpl=2830S15330E%202830S15400E%202800S15400E%202800S15330E%202830S15330E,16
"[[151.0,-29.0],[151.5,-29.0],[151.5,-28.5],[151.0,-28.5],[151.0,-29.0]]",https://skyvector.com/?fpl=2900S15100E%202900S15130E%202830S15130E%202830S15100E%202900S15100E,35
"[[151.0,-28.5],[151.5,-28.5],[151.5,-28.0],[151.0,-28.0],[151.0,-28.5]]",https://skyvector.com/?fpl=2830S15100E%202830S15130E%202800S15130E%202800S15100E%202830S15100E,31
"[[151.5,-29.0],[152.0,-29.0],[152.0,-28.5],[151.5,-28.5],[151.5,-29.0]]",https://skyvector.com/?fpl=2900S15130E%202900S15200E%202830S15200E%202830S15130E%202900S15130E,54
"[[151.5,-28.5],[152.0,-28.5],[152.0,-28.0],[151.5,-28.0],[151.5,-28.5]]",https://skyvector.com/?fpl=2830S15130E%202830S15200E%202800S15200E%202800S15130E%202830S15130E,41
"[[152.0,-30.0],[152.5,-30.0],[152.5,-29.5],[152.0,-29.5],[152.0,-30.0]]",https://skyvector.com/?fpl=3000S15200E%203000S15230E%202930S15230E%202930S15200E%203000S15200E,54
"[[152.0,-29.5],[152.5,-29.5],[152.5,-29.0],[152.0,-29.0],[152.0,-29.5]]",https://skyvector.com/?fpl=2930S15200E%202930S15230E%202900S15230E%202900S15200E%202930S15200E,59
"[[152.5,-30.0],[153.0,-30.0],[153.0,-29.5],[152.5,-29.5],[152.5,-30.0]]",https://skyvector.com/?fpl=3000S15230E%203000S15300E%202930S15300E%202930S15230E%203000S15230E,39
"[[152.5,-29.5],[153.0,-29.5],[153.0,-29.0],[152.5,-29.0],[152.5,-29.5]]",https://skyvector.com/?fpl=2930S15230E%202930S15300E%202900S15300E%202900S15230E%202930S15230E,34
